일련번호(no),카테고리1(cate1),카테고리2(cate2),카테고리3(cate3),주차장고유값(pl_id),시설 주차장명(pl_nm),건물명(build_poi_nm),법정동코드(bemd_code),시도명칭(sido_nm),시군구명칭(sgg_nm),법정읍면동명칭(bemd_nm),번지(beonji),호(ho),새주소-도로명(road_nm),새주소-건물번호(bld_num),일반인이용(pl_open_public),유무료(pl_fee),일반-기본단위시간(pl_basic_rate_min),일반-기본단위금액(pl_basic_rate_amt),일반-추가단위시간(pl_addi_rate_min),일반-추가단위금액(pl_addi_rate_amt),일반-1일(전일)(pl_allday_pass_amt),일반-1월(정기권)(pl_month_pass_amt),주차요금 지불방식(pl_payment_option),평일시작시간(pl_weekday_start_time),평일종료시간(pl_weekday_end_time),토요일시작시간(pl_sat_start_time),토요일종료시간(pl_sat_end_time),공휴일시작시간(pl_holiday_start_time),공휴일종료시간(pl_holiday_end_time),건축물층수-지하(pl_num_floor_underground),건축물층수-지상(pl_num_floor_aboveground),법정주차면수(pl_num_space_by_law),계획주차면수(pl_num_space_planned),전용주차구획-장애인(pl_num_disabled_private),전용주차구획-경차(pl_num_compact_private),전용주차구획-기타(pl_num_other_private),전용주차구획-여성우선(pl_num_women_only),할인정책-장애인(pl_discount_disabled),할인정책-경차(pl_discount_compact),할인정책-다자녀가정(두자녀)(pl_discount_2children),할인정책-다자녀가정(세자녀)(pl_discount_3children),할인정책-국가유공자(pl_discount_person_merit),할인정책-10부제참여차량(pl_discount_ten_part_system),할인정책-요일제차량(pl_discount_weekdayly),할인정책-기타할인율(pl_discount_other_percent),할인정책-기타대상(pl_discount_other_target),전용주차구획-전기차(pl_num_elctronic_only),전용주차구획-나눔카(pl_num_shared_car),충전소-실내외(space_type),충전소 설치 층수(install_floor),이용가능시간(available_time),충전기 상태(charger_state),충전기타입(charger_type),충전기 용량(charger_capacity),충전기 개수(charger_ea),서비스 운영사 기본요금(operation_basic_fee),관리업체명(manager_nm),관리업체전화번호(manager_tel),제조회사(manufacturer),충전기 캐노피(가림막 지붕) 설치 여부(charger_canopy_yn),점유과태료 안내여부(penalty_yn),재생 에너지 활용 여부(renewable_energy_yn),큐알코드결제 가능 여부 (EX_모두페이)(qrcode_yn),특이사항(speific),경도(logitude),위도(latitude),최종작성일(enter_date)
41,레저/체육/공원,지역레저시설,실내골프/스크린골프,5020435,이튼스크린골프 주차장,이튼타워리버3차,10500,서울특별시,광진구,자양동,855,0,능동로,018-00,일반인 개방,무료,0,0,0,0,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,3,25,490,490,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,실내,B3,00:00-24:00,충전대기,AC단상5핀,완속 7kW,8,80.3원,파워큐브,1833-8017,파워큐브,있음,정보없음,정보없음,불가,,127.068156,37.533034,2022-11-25
42,레저/체육/공원,지역체육시설,헬스/휘트니스,5020435,무브필라테스 주차장,이튼타워리버3차,10500,서울특별시,광진구,자양동,855,0,능동로,018-00,일반인 개방,무료,0,0,0,0,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,3,25,490,490,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,실내,B3,00:00-24:00,충전대기,AC단상5핀,완속 7kW,1,80.3원,파워큐브,1833-8017,파워큐브,있음,정보없음,정보없음,불가,,127.068156,37.533034,2022-11-25
43,문화관광/명소,여행안내/예약,항공사/여행사,5023180,미소마다 주차장,래미안프리미어팰리스,10500,서울특별시,광진구,자양동,859,0,아차산로,345-00,일반인 개방,무료,0,0,0,0,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,4,29,487,487,15,0,3,95,0,0,0,0,0,0,0,0,0,8,0,실내,B4,00:00-24:00,충전대기,AC단상5핀,완속 7kW,8,80.3원,파워큐브,1833-8017,파워큐브,없음,정보없음,정보없음,불가,,127.081524,37.537709,2022-11-25
44,레저/체육/공원,지역체육시설,지역체육센터,5005778,중곡문화체육센터 주차장,중곡문화체육센터,10100,서울특별시,광진구,중곡동,168,8,능동로,433-00,일반인 개방,유료,0,0,10,500,0,0,"현금, 카드",00:00,00:00,00:00,00:00,00:00,00:00,1,4,58,58,2,-,0,10,80,0,0,0,80,0,0,0,0,0,0,실내,B1,00:00-24:00,충전대기,AC단상5핀,완속 7kW,3,80.3원,파워큐브,1833--8017,파워큐브,있음,없음,없음,불가,,127.084654,37.567795,2022-11-25
45,레저/체육/공원,온천/사우나,찜질방,5014656,실로암목욕장 주차장,실로암불가마사우나,10100,서울특별시,광진구,중곡동,169,80,용마산로,171-00,일반인 개방,유료,60,3000,60,3000,0,0,카드,00:00,00:00,00:00,00:00,00:00,00:00,2,7,65,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,실내,B2,00:00-24:00,충전대기,AC단상5핀,완속 7kW,1,195원,나이스차저,1533-2522,나이스차저,있음,없음,없음,불가,,127.085563,37.569082,2022-11-25
46,전시/공연,영화/연극/공연,일반극장/영화관,5027916,KU시네마테크 주차장,건국대학교,10700,서울특별시,광진구,화양동,1,0,능동로,120-00,미개방,유료,30,1500,10,500,30000,0,"현금, 카드",00:00,00:00,00:00,00:00,00:00,00:00,0,4,2001,1621,74,13,0,26,50,50,0,0,0,0,0,0,0,30,0,실내,B1,00:00-24:00,충전대기,AC3상7핀+DC차데모10핀+DC콤보7핀,급속 100kW,1,255.7원,스타코프,02-2118-1100,스타코프,있음,정보없음,없음,가능,,127.07374,37.542642,2022-11-25
47,전시/공연,전시/기념관,기타전시/박물관,5027916,건국대학교박물관 주차장,건국대학교,10700,서울특별시,광진구,화양동,1,0,능동로,120-00,미개방,유료,30,1500,10,500,30000,0,"현금, 카드",00:00,00:00,00:00,00:00,00:00,00:00,0,4,2001,1621,74,13,0,26,50,50,0,0,0,0,0,0,0,30,0,실내,"B1,B2",00:00-24:00,충전대기,AC단상5핀,완속 3kW,11,173.8원,스타코프,02-2118-1100,스타코프,있음,정보없음,없음,가능,,127.07374,37.542642,2022-11-25
48,레저/체육/공원,공원,지역근린공원,5027916,건국대학교서울캠퍼스분수대광장 주차장,건국대학교,10700,서울특별시,광진구,화양동,1,0,능동로,120-00,미개방,유료,30,1500,10,500,30000,0,"현금, 카드",00:00,00:00,00:00,00:00,00:00,00:00,0,4,2001,1621,74,13,0,26,50,50,0,0,0,0,0,0,0,30,0,실내,B1,00:00-24:00,충전대기,AC3상7핀+DC차데모10핀+DC콤보7핀,급속 100kW,1,255.7원,스타코프,02-2118-1100,스타코프,있음,정보없음,없음,가능,,127.07374,37.542642,2022-11-25
49,레저/체육/공원,지역레저시설,테니스장,5027916,건국대학교서울캠퍼스테니스장 주차장,건국대학교,10700,서울특별시,광진구,화양동,1,0,능동로,120-00,미개방,유료,30,1500,10,500,30000,0,"현금, 카드",00:00,00:00,00:00,00:00,00:00,00:00,0,4,2001,1621,74,13,0,26,50,50,0,0,0,0,0,0,0,30,0,실내,"B1,B2",00:00-24:00,충전대기,AC단상5핀,완속 3kW,11,173.8원,스타코프,02-2118-1100,스타코프,있음,정보없음,없음,가능,,127.07374,37.542642,2022-11-25
50,문화관광/명소,관광지,테마공원/대형놀이공원,5013671,어린이대공원 주차장,어린이대공원,10200,서울특별시,광진구,능동,18,0,능동로,216-00,일반인 개방,유료,10,500,10,300,20000,100000,카드,09:00,22:00,09:00,22:00,09:00,22:00,3,1,400,395,12,10,0,92,80,50,50,30,80,0,0,0,0,5,0,실외,1,09:00-22:00,통신이상,AC단상5핀,완속 7kW,6,178.9원,지차저,1899-3290,에바,있음,없음,없음,가능,,127.076738,37.550749,2022-11-25
51,문화관광/명소,여행안내/예약,관광안내소/매표소,5013671,어린이대공원매표소 주차장,어린이대공원,10200,서울특별시,광진구,능동,18,0,능동로,216-00,일반인 개방,유료,10,500,10,300,20000,100000,카드,09:00,22:00,09:00,22:00,09:00,22:00,3,1,400,395,12,10,0,92,80,50,50,30,80,0,0,0,0,5,0,실외,1,09:00-22:00,충전대기,AC단상5핀,완속 7kW,1,259원,차지비,1600-4047,중앙제어,없음,없음,없음,가능,,127.076738,37.550749,2022-11-25
52,레저/체육/공원,공원,지역근린공원,5013671,어린이대공원환경연못 주차장,어린이대공원,10200,서울특별시,광진구,능동,18,0,능동로,216-00,일반인 개방,유료,10,500,10,300,20000,100000,카드,09:00,22:00,09:00,22:00,09:00,22:00,3,1,400,395,12,10,0,92,80,50,50,30,80,0,0,0,0,5,0,실외,1,09:00-22:00,충전대기,AC3상7핀+DC차데모10핀+DC콤보7핀,급속 43kW,1,324.4원,환경부,070-4618-6057,시그넷이브이,있음,있음,없음,가능,,127.076738,37.550749,2022-11-25
53,레저/체육/공원,공원,지역근린공원,5013671,어린이대공원능동소공원 주차장,어린이대공원,10200,서울특별시,광진구,능동,18,0,능동로,216-00,일반인 개방,유료,10,500,10,300,20000,100000,카드,09:00,22:00,09:00,22:00,09:00,22:00,3,1,400,395,12,10,0,92,80,50,50,30,80,0,0,0,0,5,0,실외,1,09:00-22:00,충전대기,DC콤보7핀,급속 50kW,1,,서울특별시,1833-7448,한국알박,있음,있음,없음,불가,,127.076738,37.550749,2022-11-25
54,레저/체육/공원,공원,지역근린공원,5013671,어린이대공원환경공원 주차장,어린이대공원,10200,서울특별시,광진구,능동,18,0,능동로,216-00,일반인 개방,유료,10,500,10,300,20000,100000,카드,09:00,22:00,09:00,22:00,09:00,22:00,3,1,400,395,12,10,0,92,80,50,50,30,80,0,0,0,0,5,0,실외,1,09:00-22:00,통신이상,AC단상5핀,완속 7kW,1,178.9원,지차저,1899-3290,에바,있음,없음,없음,가능,,127.076738,37.550749,2022-11-25
55,레저/체육/공원,대형레저시설,눈썰매장,5013671,어린이대공원눈썰매장 주차장,어린이대공원,10200,서울특별시,광진구,능동,18,0,능동로,216-00,일반인 개방,유료,10,500,10,300,20000,100000,카드,09:00,22:00,09:00,22:00,09:00,22:00,3,1,400,395,12,10,0,92,80,50,50,30,80,0,0,0,0,5,0,실외,1,09:00-22:00,통신이상,AC단상5핀,완속 7kW,1,178.9원,지차저,1899-3290,에바,있음,없음,없음,가능,,127.076738,37.550749,2022-11-25
56,레저/체육/공원,대형레저시설,눈썰매장,5013671,어린이대공원잔디축구장 주차장,어린이대공원,10200,서울특별시,광진구,능동,18,0,능동로,216-00,일반인 개방,유료,10,500,10,300,20000,100000,카드,09:00,22:00,09:00,22:00,09:00,22:00,3,1,400,395,12,10,0,92,80,50,50,30,80,0,0,0,0,5,0,실외,1,09:00-22:00,통신이상,AC단상5핀,완속 7kW,1,178.9원,지차저,1899-3290,에바,있음,없음,없음,가능,,127.076738,37.550749,2022-11-25
57,레저/체육/공원,지역레저시설,테니스장,5013671,서울어린이대공원테니스장 주차장,어린이대공원,10200,서울특별시,광진구,능동,18,0,능동로,216-00,일반인 개방,유료,10,500,10,300,20000,100000,카드,09:00,22:00,09:00,22:00,09:00,22:00,3,1,400,395,12,10,0,92,80,50,50,30,80,0,0,0,0,5,0,실외,1,09:00-22:00,통신이상,AC단상5핀,완속 7kW,1,178.9원,지차저,1899-3290,에바,있음,없음,없음,가능,,127.076738,37.550749,2022-11-25
