"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
16,서울특별시,광진구,특별시도,,군자로,3,서울특별시 광진구 군자로 88,서울특별시 광진구 군자동 364-15,37.551085,127.0715961,노인종합복지관 앞,4,0,,,,2010,서울특별시 광진구청,02-450-1485,2022-08-16
26,서울특별시,광진구,특별시도,405,능동로,3,서울특별시 광진구 능동로 385,서울특별시 광진구 중곡동 165-6,37.56372011,127.0827881,중곡지구대 앞,4,0,,,,2010,서울특별시 광진구청,02-450-1485,2022-08-16
15,서울특별시,광진구,기타,,구의강변로,3,서울특별시 광진구 구의강변로 45,서울특별시 광진구 구의동 593-15,37.53488531,127.0913073,강변스파랜드 앞,4,0,,,,2010,서울특별시 광진구청,02-450-1485,2022-08-16
32,서울특별시,광진구,특별시도,3107,아차산로,3,서울특별시 광진구 아차산로 219,서울특별시 광진구 화양동 48-14,37.54112608,127.0679321,건대입구1번출구 앞,4,0,,,,2011,서울특별시 광진구청,02-450-1485,2022-08-16
33,서울특별시,광진구,특별시도,405,능동로,3,서울특별시 광진구 능동로 110,서울특별시 광진구 화양동 4-20,37.540684,127.0714119,건대입구3번출구 앞,4,0,,,,2011,서울특별시 광진구청,02-450-1485,2022-08-16
34,서울특별시,광진구,특별시도,405,능동로,3,서울특별시 광진구 능동로 125,서울특별시 광진구 화양동 5-3,37.54218997,127.071312,건대분수광장 건너편,4,0,,,,2006,서울특별시 광진구청,02-450-1485,2022-08-16
35,서울특별시,광진구,특별시도,405,능동로,3,서울특별시 광진구 능동로 109,서울특별시 광진구 화양동 5-84,37.54087789,127.0707809,건국대병원 맞은편,4,0,,,,2006,서울특별시 광진구청,02-450-1485,2022-08-16
24,서울특별시,광진구,특별시도,3107,아차산로,3,서울특별시 광진구 아차산로 218,서울특별시 광진구 자양동 8-24,37.54078275,127.0673968,건대역약국 앞,4,0,,,,2006,서울특별시 광진구청,02-450-1485,2022-08-16
6,서울특별시,광진구,특별시도,3109,자양로,3,서울특별시 광진구 자양로 210,서울특별시 광진구 구의동 68-29,37.54579499,127.0863826,구의사거리,4,0,,,,2013,서울특별시 광진구청,02-450-1485,2022-08-16
4,서울특별시,광진구,특별시도,3001,광나루로,3,서울특별시 광진구 광나루로 369,서울특별시 광진구 군자동 503,37.54846108,127.071019,두산위브 앞,4,0,,,2,2016,서울특별시 광진구청,02-450-1485,2022-08-16
36,서울특별시,광진구,특별시도,4805,면목로,3,서울특별시 광진구 면목로 127,서울특별시 광진구 중곡동 231-2,37.56506217,127.0804159,신성그랜드타워 앞,4,0,,,2,2018,서울특별시 광진구청,02-450-1485,2022-08-16
37,서울특별시,광진구,특별시도,3111,뚝섬로,3,서울특별시 광진구 뚝섬로 666,서울특별시 광진구 자양동 662-2,37.53149517,127.0835629,성자초등학교 옆,4,0,,,2,2018,서울특별시 광진구청,02-450-1485,2022-08-16
39,서울특별시,광진구,구도,3109,자양로,3,서울특별시 광진구 자양로 45,서울특별시 광진구 자양동 679-30,37.53199519,127.085371,한국보건의료인 국가시험원 앞,4,0,,,,2019,서울특별시 광진구청,02-450-1485,2022-08-16
40,서울특별시,광진구,구도,405,능동로,3,서울특별시 광진구 능동로 433,서울특별시 광진구 중곡동 168-8,37.567767,127.0848024,중곡문화체육센터 앞,4,0,,,,2019,서울특별시 광진구청,02-450-1485,2022-08-16
41,서울특별시,광진구,구도,3107,아차산로,3,서울특별시 광진구 아차산로 522,서울특별시 광진구 광장동 565,37.54180908,127.0989833,광장 힐스테이 상가 건너편,4,0,,,,2019,서울특별시 광진구청,02-450-1485,2022-08-16
42,서울특별시,광진구,특별시도,3109,자양로,3,서울특별시 광진구 자양로 185,서울특별시 광진구 구의동 253-15,37.544176,127.0846271,구의동 대림바스플랜 앞,4,0,,,,2020,서울특별시 광진구청,02-450-1485,2022-08-16
43,서울특별시,광진구,특별시도,3109,자양로,3,서울특별시 광진구 자양로 116,서울특별시 광진구 구의동 252-16,37.53824698,127.0838518,구의동 웰츠타워 앞,4,0,,,,2020,서울특별시 광진구청,02-450-1485,2022-08-16
44,서울특별시,광진구,구도,,영화사로,3,서울특별시 광진구 영화사로 95,서울특별시 광진구 구의동 17-1,37.55478453,127.0968221,구의동 금성빌라 앞,4,0,,,2,2020,서울특별시 광진구청,02-450-1486,2022-08-16
45,서울특별시,광진구,특별시도,405,능동로,3,서울특별시 광진구 능동로 18,서울특별시 광진구 자양동 855,37.53268464,127.0678785,이튼타워리버3차 앞,4,0,,,2,2020,서울특별시 광진구청,02-450-1487,2022-08-16
46,서울특별시,광진구,특별시도,3001,광나루로,3,서울특별시 광진구 광나루로375-1,서울특별시 광진구 군자동 361-28,37.54816054,127.071743,광진광장,4,0,,,,2021,서울특별시 광진구청,02-450-1488,2022-08-16
47,서울특별시,광진구,특별시도,3109,자양로,3,서울특별시 광진구 자양로 81,서울특별시 광진구 자양동 627-21,37.535132,127.083842,자양동 동제한의원,4,0,,,,2021,서울특별시 광진구청,02-450-1489,2022-08-16
