어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,통학차량운영여부,데이터기준일자
구립 물고기어린이집,서울특별시,광진구,국공립,20,6,서울특별시 광진구 뚝섬로34길 25-19 1006동 102호,070-8278-4030,,3,0,미운영,2023-02-07
구립 미래어린이집,서울특별시,광진구,국공립,20,9,"서울특별시 광진구 아차산로 503-23 104동 113호(광장동, 청구아파트)",02-447-4191,02-447-4192,3,0,미운영,2023-02-07
구립 바니스쿨어린이집,서울특별시,광진구,국공립,20,8,서울특별시 광진구 광나루로56길 32 구의현대2단지아파트 215동 104호(구의3동),02-446-1347,02-446-1347,3,0,미운영,2023-02-07
구립 베베아이어린이집,서울특별시,광진구,국공립,20,6,"서울특별시 광진구 아차산로 549 1008동 101호(광장동,현대파크빌)",02-455-1279,,3,0,미운영,2023-02-07
구립 봄빛어린이집,서울특별시,광진구,국공립,20,7,"서울특별시 광진구 능동로 19 101동 103호(자양동,한강현대아파트)",02-467-4720,0504-259-8035,3,0,미운영,2023-02-07
구립 사랑모아어린이집,서울특별시,광진구,국공립,20,6,서울특별시 광진구 광나루로56길 32 구의현대아파트 202동 103호,02-457-0348,02-457-0348,3,0,미운영,2023-02-07
구립 사랑의어린이집,서울특별시,광진구,국공립,99,15,서울특별시 광진구 아차산로66길 8 (광장동),02-2201-1049,02-2201-1048,6,1,미운영,2023-02-07
구립 상명어린이집,서울특별시,광진구,국공립,65,12,서울특별시 광진구 동일로80길 30 (중곡동),02-464-5984,02-497-5984,5,2,미운영,2023-02-07
구립 샘물어린이집,서울특별시,광진구,국공립,20,8,서울특별시 광진구 뚝섬로58길 56 101호,02-3437-7737,02-3437-7737,3,0,미운영,2023-02-07
구립 샘터어린이집,서울특별시,광진구,국공립,20,6,"서울특별시 광진구 아차산로 503-23 102동 102호(광장동,청구아파트)",02-456-4566,02-456-4568,4,1,미운영,2023-02-07
구립 성심어린이집,서울특별시,광진구,국공립,91,16,서울특별시 광진구 용마산로3길 60 (중곡동),02-3437-2381,02-454-5770,6,1,미운영,2023-02-07
구립 수호천사어린이집,서울특별시,광진구,국공립,48,11,서울특별시 광진구 긴고랑로17길 8 (중곡동),02-447-2373,02-465-2373,5,0,미운영,2023-02-07
구립 아띠어린이집,서울특별시,광진구,국공립,20,8,"서울특별시 광진구 광나루로56길 32 (구의동, 구의현대2단지아파트 213동 102호)",02-454-7911,02-454-7933,3,1,미운영,2023-02-07
구립 아이와나무어린이집,서울특별시,광진구,국공립,49,12,서울특별시 광진구 천호대로123길 4-4,02-452-5579,,5,0,미운영,2023-02-07
구립 예담어린이집,서울특별시,광진구,국공립,23,8,서울특별시 광진구 아차산로 537-17 광장힐스테이트 관리동,02-444-2008,,3,0,미운영,2023-02-07
구립 우리아이어린이집,서울특별시,광진구,국공립,42,11,서울특별시 광진구 구의로4길 21 구의동,,02-454-6169,4,1,미운영,2023-02-07
구립 원스쿨어린이집,서울특별시,광진구,국공립,20,9,서울특별시 광진구 아차산로69길 19 현대아파트 902동 104호,02-6451-8801,02-452-8801,3,2,미운영,2023-02-07
구립 은성어린이집,서울특별시,광진구,국공립,96,14,서울특별시 광진구 동일로4길 52 (자양동),02-465-7476,02-465-7478,6,1,미운영,2023-02-07
구립 인정어린이집,서울특별시,광진구,국공립,28,9,서울특별시 광진구 동일로 242 (군자동),02-462-2758,,5,0,미운영,2023-02-07
구립 자양1동 봄뜰어린이집,서울특별시,광진구,국공립,65,10,서울특별시 광진구 자양로9길 30 (자양동 629-40),02-453-2260,02-447-0136,5,1,미운영,2023-02-07
구립 자양2동어린이집,서울특별시,광진구,국공립,64,11,서울특별시 광진구 자양로3가길 26 (자양동),02-453-7587,02-453-7556,4,1,미운영,2023-02-07
구립 자양4동어린이집,서울특별시,광진구,국공립,59,13,서울특별시 광진구 아차산로32길 17 (자양동),02-463-4959,02-462-4987,5,1,미운영,2023-02-07
구립 자양도담어린이집,서울특별시,광진구,국공립,85,11,서울특별시 광진구 아차산로44가길 5 (자양동 231-51),02-455-7000,02-455-7887,11,3,미운영,2023-02-07
구립 자양어린이집,서울특별시,광진구,국공립,115,25,서울특별시 광진구 자양번영로 35 (자양동),02-452-0748,02-457-0306,7,1,미운영,2023-02-07
구립 자양호반써밋어린이집,서울특별시,광진구,국공립,33,11,"서울특별시 광진구 능동로 69 어린이집(자양동,자양호반써밋)",02-466-7563,02-466-7563,3,2,미운영,2023-02-07
구립 중곡1동 자람터어린이집,서울특별시,광진구,국공립,62,20,서울특별시 광진구 긴고랑로8길 76,02-469-7942,02-469-7944,5,2,미운영,2023-02-07
구립 중곡1동어린이집,서울특별시,광진구,국공립,85,16,서울특별시 광진구 능동로43길 27-14 (중곡동),02-498-2878,02-498-2868,5,2,미운영,2023-02-07
구립 중곡샛별어린이집,서울특별시,광진구,국공립,131,27,서울특별시 광진구 동일로 458 (중곡동),02-435-4900,02-435-4901,12,1,미운영,2023-02-07
구립 중곡하나어린이집,서울특별시,광진구,국공립,38,10,서울특별시 광진구 동일로76길 59,02-465-1004,02-465-1005,5,1,미운영,2023-02-07
구립 중곡햇님어린이집,서울특별시,광진구,국공립,20,10,"서울특별시 광진구 능동로48길 49 101호(중곡동, 웰빙아파트)",02-453-6132,02-453-6131,3,0,미운영,2023-02-07
구립 중앙어린이집,서울특별시,광진구,국공립,96,17,서울특별시 광진구 자양로13다길 31 (자양동),02-446-9066,02-446-9055,5,1,미운영,2023-02-07
구립 진성어린이집,서울특별시,광진구,국공립,79,16,서울특별시 광진구 용마산로 152 (중곡동),02-454-3166,02-457-4166,6,2,미운영,2023-02-07
구립 파크스위트어린이집,서울특별시,광진구,국공립,73,13,"서울특별시 광진구 광나루로 545 110동 1층(구의동, 래미안파크스위트)",02-456-8546,02-457-8546,6,1,미운영,2023-02-07
구립 하늘땅별땅어린이집,서울특별시,광진구,국공립,49,12,서울특별시 광진구 동일로56길 15 (군자동),02-498-3062,,6,0,미운영,2023-02-07
구립 한가람어린이집,서울특별시,광진구,국공립,92,14,서울특별시 광진구 자양번영로2길 30-1 (자양동),02-452-2800,,5,2,미운영,2023-02-07
구립 행복마루어린이집,서울특별시,광진구,국공립,20,8,서울특별시 광진구 뚝섬로56가길 10 (자양2동 현대3차 301-105),02-455-0516,02-455-0516,4,0,미운영,2023-02-07
구립 화송어린이집,서울특별시,광진구,국공립,69,16,서울특별시 광진구 능동로13길 108 (화양동),02-468-2336,02-468-2213,5,1,미운영,2023-02-07
구립 효지어린이집,서울특별시,광진구,국공립,84,20,서울특별시 광진구 아차산로36길 55 (자양동),02-2201-0558,02-2201-1606,5,1,미운영,2023-02-07
구립 휴먼시아어린이집,서울특별시,광진구,국공립,20,8,"서울특별시 광진구 천호대로 716 102동 102호(구의동, 휴먼시아아파트)",02-456-9709,070-4009-0630,3,1,미운영,2023-02-07
구립 희망샘어린이집,서울특별시,광진구,국공립,48,15,서울특별시 광진구 긴고랑로37길 8 (중곡동),02-458-1324,02-458-1325,4,0,미운영,2023-02-07
구의미소어린이집,서울특별시,광진구,민간,31,11,서울특별시 광진구 자양로 297 (구의2동),02-456-7336,02-456-7336,4,1,미운영,2023-02-07
군자티움아이어린이집,서울특별시,광진구,가정,20,6,서울특별시 광진구 동일로38길 8 1층(군자동),02-498-1279,070-8233-9998,4,0,미운영,2023-02-07
극동예랑어린이집,서울특별시,광진구,가정,19,6,"서울특별시 광진구 아차산로 552 6동 109호(광장동, 극동아파트)",02-454-1140,,4,0,미운영,2023-02-07
꼬꼬마어린이집,서울특별시,광진구,가정,20,8,"서울특별시 광진구 아차산로 451 101동 105호(구의동, 세림리오빌)",02-447-0739,,4,0,미운영,2023-02-07
꼬마별어린이집,서울특별시,광진구,가정,20,5,"서울특별시 광진구 천호대로127길 33 103호(중곡동, 선화빌라11차)",02-456-3149,,4,0,미운영,2023-02-07
꼬마사랑어린이집,서울특별시,광진구,가정,16,7,서울특별시 광진구 긴고랑로8길 14 (중곡동),02-464-6788,0303-3443-6787,4,0,미운영,2023-02-07
꿈꾸는어린이집,서울특별시,광진구,민간,25,8,서울특별시 광진구 능동로50길 23 (중곡동),02-454-9797,,3,1,미운영,2023-02-07
꿈나무어린이집,서울특별시,광진구,민간,35,8,서울특별시 광진구 자양로 134 (구의동),02-444-5449,02-2201-5449,5,0,미운영,2023-02-07
꿈동산어린이집,서울특별시,광진구,가정,18,3,"서울특별시 광진구 면목로4길 3 101호(군자동, 동산골든빌라)",02-462-0363,02-462-0363,3,0,미운영,2023-02-07
나섬어린이집,서울특별시,광진구,가정,20,4,"서울특별시 광진구 광장로1나길 4 107호(광장동, 동부빌라)",02-6497-0033,02-444-0204,4,0,미운영,2023-02-07
늘평화어린이집,서울특별시,광진구,민간,94,18,서울특별시 광진구 능동로51길 17 (중곡동),02-499-7758,02-499-7759,8,1,미운영,2023-02-07
다예린어린이집,서울특별시,광진구,민간,35,10,서울특별시 광진구 광장로 65 (광장동),02-455-2366,02-455-2366,4,1,운영(신고),2023-02-07
대공원어린이집,서울특별시,광진구,가정,18,7,서울특별시 광진구 천호대로116길 22-12 (능동),02-455-3595,02-455-3595,4,1,미운영,2023-02-07
대서울어린이집,서울특별시,광진구,가정,20,6,서울특별시 광진구 자양번영로3길 15 (자양동),02-457-9742,02-455- 702,3,0,미운영,2023-02-07
동성어린이집,서울특별시,광진구,민간,55,9,서울특별시 광진구 아차산로30길 25-10 (자양동),02-465-8688,02-498-1280,5,1,운영(신고),2023-02-07
동심어린이집,서울특별시,광진구,민간,24,5,서울특별시 광진구 뚝섬로 609 (자양동),02-2201-6230,02-2201-6230,4,0,미운영,2023-02-07
라온어린이집,서울특별시,광진구,민간,30,10,서울특별시 광진구 아차산로63길 27 (구의동),02-456-4365,02-456-4364,3,0,미운영,2023-02-07
리틀지니어스어린이집,서울특별시,광진구,민간,31,10,서울특별시 광진구 자양로26길 50 (구의동),02-444-0717,02- 444-0717,5,1,미운영,2023-02-07
민들레어린이집,서울특별시,광진구,민간,40,13,서울특별시 광진구 뚝섬로52마길 32 (자양동),02-456-5003,02-456-5003,5,1,미운영,2023-02-07
보배어린이집,서울특별시,광진구,민간,48,11,"서울특별시 광진구 아차산로36길 39 3동 1호(자양동, 자양우성7차아파트)",02-457-1565,02-457-1569,5,1,미운영,2023-02-07
사랑숲어린이집,서울특별시,광진구,민간,61,17,서울특별시 광진구 영화사로9길 95-2 (중곡동),02-452-8877,02-452-8876,8,1,운영(신고),2023-02-07
사랑어린이집,서울특별시,광진구,가정,19,6,서울특별시 광진구 뚝섬로35길 32 306동 102호(자양동),02-456-2910,024-562-910,4,0,미운영,2023-02-07
사임당어린이집,서울특별시,광진구,민간,27,13,서울특별시 광진구 아차산로46가길 23 (자양동) 101호,02-455-0883,02-6449-0882,6,2,미운영,2023-02-07
산위의마을어린이집,서울특별시,광진구,민간,33,8,서울특별시 광진구 용마산로7길 39 (중곡동),02-457-8953,02-457-8951,3,1,미운영,2023-02-07
상상놀이터어린이집,서울특별시,광진구,가정,19,5,서울특별시 광진구 자양로6길 9 (자양동),02-6406-4947,02-446-4947,4,0,미운영,2023-02-07
새롬어린이집,서울특별시,광진구,가정,19,6,"서울특별시 광진구 구의강변로 94 601동 105호(구의동, 구의현대6단지아파트)",02-2201-3037,02-2201-3037,4,1,미운영,2023-02-07
새벽어린이집,서울특별시,광진구,민간,21,8,서울특별시 광진구 영화사로 53 (중곡동),02-458-5279,,3,0,미운영,2023-02-07
서울교통공사대공원어린이집,서울특별시,광진구,직장,31,4,서울특별시 광진구 능동로 247-1 (군자동),02-6311-7979,02-2201-6148,4,1,미운영,2023-02-07
서울숲어린이집,서울특별시,광진구,가정,17,4,서울특별시 광진구 뚝섬로28길 13 (자양4동45-2),02-499-1998,02-455-1998,4,0,미운영,2023-02-07
솔로몬어린이집,서울특별시,광진구,민간,82,15,서울특별시 광진구 긴고랑로7길 73 (중곡동),02-469-9976,02-466-9976,5,4,운영(신고),2023-02-07
신나는어린이집,서울특별시,광진구,민간,164,27,서울특별시 광진구 광나루로40길 78 (구의동),02-453-2814,02-6084-1891,9,4,운영(신고),2023-02-07
신예지어린이집,서울특별시,광진구,민간,39,10,서울특별시 광진구 자양로45길 16 (구의2동),02-458-8538,02-453-8538,4,0,미운영,2023-02-07
아기천사어린이집,서울특별시,광진구,가정,18,7,"서울특별시 광진구 뚝섬로 576 201동 107호(자양동, 우성2차아파트)",070-7856-6645,,4,0,미운영,2023-02-07
아름다운어린이집,서울특별시,광진구,민간,49,7,서울특별시 광진구 천호대로123길 34 (중곡동),02-444-5561,02-444-5562,6,0,미운영,2023-02-07
아이누리어린이집,서울특별시,광진구,가정,20,6,"서울특별시 광진구 뚝섬로33길 20 (자양3동, 한라아파트 101동 104호)",02-2201-1260,02-2201-1260,3,0,미운영,2023-02-07
아이다솜어린이집,서울특별시,광진구,가정,20,7,서울특별시 광진구 자양로33길 50 (구의동),02-456-3672,,4,0,미운영,2023-02-07
아이들세상어린이집,서울특별시,광진구,민간,43,13,서울특별시 광진구 긴고랑로26길 31 (중곡동),02-3436-4611,02-444-3560,6,1,미운영,2023-02-07
아이비키즈어린이집,서울특별시,광진구,민간,31,9,"서울특별시 광진구 뚝섬로35길 14 (자양동, 한라아파트,  상가 B동 101호",02-446-1260,02-2201-1262,5,1,미운영,2023-02-07
아이사랑어린이집,서울특별시,광진구,가정,18,6,서울특별시 광진구 자양로3길 60 (자양동),02-2201-5151,02-2201-5151,4,0,미운영,2023-02-07
아이스쿨어린이집,서울특별시,광진구,민간,30,5,서울특별시 광진구 용마산로3길 91-4 (중곡동),02-447-0412,02-444-9406,5,0,미운영,2023-02-07
아이자람어린이집,서울특별시,광진구,가정,20,5,"서울특별시 광진구 아차산로70길 62 304동 102호(광장동, 현대3단지아파트)",02-453-1486,02-453-1486,4,2,미운영,2023-02-07
아이짐어린이집,서울특별시,광진구,민간,39,9,서울특별시 광진구 광나루로37길 8 (구의2동),02-455-5220,02-6406-5221,4,0,미운영,2023-02-07
아힘나어린이집,서울특별시,광진구,가정,19,9,"서울특별시 광진구 능동로3길 17 101동 106호(자양동, 한강성원아파트)",02-447-9335,,4,0,미운영,2023-02-07
어린이나라어린이집,서울특별시,광진구,민간,30,10,서울특별시 광진구 자양로26길 9 (구의동),02-446-3232,02-446-3367,4,0,운영(신고),2023-02-07
엄마사랑어린이집,서울특별시,광진구,민간,29,12,서울특별시 광진구 면목로 164 (중곡동),02-452-0804,02-467-0804,4,2,미운영,2023-02-07
영인어린이집,서울특별시,광진구,가정,19,5,"서울특별시 광진구 아차산로 522 802동 101호 (현대아파트 8단지, 광장동)",02-444-2566,,4,0,미운영,2023-02-07
영화사어린이집,서울특별시,광진구,민간,39,9,서울특별시 광진구 영화사로 105 (구의동),02-453-5149,02-447-6066,3,0,운영(신고),2023-02-07
예랑어린이집,서울특별시,광진구,민간,49,10,서울특별시 광진구 자양로51길 11-12 (구의동),02-447-1477,02-447-1748,5,0,미운영,2023-02-07
예아랑어린이집,서울특별시,광진구,민간,70,18,서울특별시 광진구 동일로 456 성수교회 2층 1호(중곡동),02-2207-5292,02-2207-5293,7,1,운영(신고),2023-02-07
예일어린이집,서울특별시,광진구,민간,49,7,서울특별시 광진구 자양로47길 11 (구의2동),02-452-7639,,4,0,미운영,2023-02-07
예지어린이집,서울특별시,광진구,민간,58,7,서울특별시 광진구 광나루로15길 17 (군자동),02-467-3333,02-467-3333,10,1,운영(신고),2023-02-07
용곡어린이집,서울특별시,광진구,가정,20,8,서울특별시 광진구 능동로48길 64 (중곡동) 운형빌라 101호,02-3437-6676,02-3437-6676,4,0,미운영,2023-02-07
워커힐행복어린이집,서울특별시,광진구,직장,49,15,서울특별시 광진구 워커힐로 177 (광장동),02-450-6500,02-450-6502,6,0,미운영,2023-02-07
으뜸어린이집,서울특별시,광진구,민간,120,26,서울특별시 광진구 능동로4길 88 (자양동),02-458-3372,02-458-3371,8,2,미운영,2023-02-07
이삭어린이집,서울특별시,광진구,민간,29,10,서울특별시 광진구 뚝섬로40길 63-10 (자양동),02-453-5359,02-499-5359,6,0,미운영,2023-02-07
자양미래몬테소리어린이집,서울특별시,광진구,가정,20,6,서울특별시 광진구 자양번영로3길 6 (자양동),02-457-3497,02-457-3497,3,0,미운영,2023-02-07
젬마어린이집,서울특별시,광진구,가정,20,9,서울특별시 광진구 동일로26길 51 (화양동),02-461-0788,02-497-0681,4,0,운영(신고),2023-02-07
조은어린이집,서울특별시,광진구,가정,18,8,서울특별시 광진구 뚝섬로57길 48 101호(극동하이빌),02-457-5529,02-457-5529,4,1,미운영,2023-02-07
좋은어린이집,서울특별시,광진구,민간,35,13,서울특별시 광진구 구의강변로3길 31 (구의동),02-454-8548,02-454-8985,8,1,운영(신고),2023-02-07
중곡4동어린이집,서울특별시,광진구,민간,81,13,서울특별시 광진구 긴고랑로 149-8 (중곡동),02-2201-2704,,5,5,운영(신고),2023-02-07
중곡희망어린이집,서울특별시,광진구,민간,48,5,서울특별시 광진구 용마산로30길 17 (중곡동),02-446-4430,02-446-4431,6,0,운영(신고),2023-02-07
즐거운산들어린이집,서울특별시,광진구,협동,49,10,서울특별시 광진구 자양로50길 74 (구의2동),02-458-7122,02-3436-7122,9,0,미운영,2023-02-07
지안어린이집,서울특별시,광진구,민간,70,10,서울특별시 광진구 뚝섬로58가길 26-4 (자양동),02-3436-3866,,7,1,미운영,2023-02-07
착한어린이집,서울특별시,광진구,민간,39,11,서울특별시 광진구 뚝섬로52다길 17 (자양동),02-453-3072,02-453-3072,5,1,미운영,2023-02-07
키즈랜드어린이집,서울특별시,광진구,가정,20,3,서울특별시 광진구 능동로48길 56 (중곡동),02-453-0860,02-456-0860,4,0,미운영,2023-02-07
키즈용맹어린이집,서울특별시,광진구,민간,72,17,서울특별시 광진구 영화사로5길 15 (중곡동),02-453-5210,02-453-2215,7,1,운영(신고),2023-02-07
키즈팜어린이집,서울특별시,광진구,민간,30,6,서울특별시 광진구 뚝섬로47길 33 (자양동),02-453-8030,02-453-0567,4,0,미운영,2023-02-07
파크빌어린이집,서울특별시,광진구,민간,48,11,서울특별시 광진구 아차산로 549 현대파크빌단지내(광장동),02-456-5677,02-456-5677,4,1,운영(신고),2023-02-07
포도나무어린이집,서울특별시,광진구,가정,19,6,"서울특별시 광진구 뚝섬로52마길 56 102동101호(자양동,로얄동아파트)",02-6212-0516,02-6212-0516,4,0,미운영,2023-02-07
푸르내어린이집,서울특별시,광진구,민간,74,11,서울특별시 광진구 긴고랑로36길 15 (중곡동),02-3436-3488,02-3436-3487,6,1,운영(신고),2023-02-07
프라임사랑어린이집,서울특별시,광진구,가정,20,7,"서울특별시 광진구 광나루로56길 29 11동 102호(구의동, 현대프라임아파트)",02-456-1279,02-456-1279,4,0,미운영,2023-02-07
한국중앙어린이집,서울특별시,광진구,민간,62,13,서울특별시 광진구 능동로 447 (중곡동),02-467-6824,02-467-6825,4,1,운영(신고),2023-02-07
한라어린이집,서울특별시,광진구,민간,44,14,서울특별시 광진구 뚝섬로33길 20 (자양동),02-2201-1264,02-2201-1265,5,1,미운영,2023-02-07
한울어린이집,서울특별시,광진구,민간,70,11,서울특별시 광진구 천호대로117길 51 (중곡동),02-458-7005,02-444-3560,4,2,미운영,2023-02-07
해달별어린이집,서울특별시,광진구,가정,19,8,"서울특별시 광진구 구의강변로3가길 39 701동 102호(구의동,7단지 현대아파트 )",02-3437-3373,,4,0,미운영,2023-02-07
해든어린이집,서울특별시,광진구,민간,32,10,"서울특별시 광진구 능동로3마길 1 (자양동, 자양)",02-463-0942,02-468-8659,4,1,미운영,2023-02-07
해오름어린이집,서울특별시,광진구,민간,24,4,서울특별시 광진구 자양로50가길 41 (구의동),02-456-4242,02-3437-5910,4,0,미운영,2023-02-07
해피i어린이집,서울특별시,광진구,가정,19,7,"서울특별시 광진구 아차산로36길 35 702-105(자양동,우성7차아파트 )",02-454-1565,02-457-1569,4,1,미운영,2023-02-07
향기나무어린이집,서울특별시,광진구,가정,20,8,서울특별시 광진구 아차산로 552 (광장동) 극동아파트 6동 105호,02-3436-3995,02-6925-3994,4,2,미운영,2023-02-07
현대몬테소리어린이집,서울특별시,광진구,가정,20,8,"서울특별시 광진구 광나루로56길 32 207동 106호(구의동, 구의현대2단지아파트)",02-452-8348,02-452-8348,5,0,미운영,2023-02-07
현대아이사랑어린이집,서울특별시,광진구,가정,19,6,"서울특별시 광진구 광나루로56길 32 208동105호(구의동,구의현대아파트)",02-455-6780,02-455-6780,4,0,미운영,2023-02-07
